Model,Train RMSE,Test RMSE,Train MAE,Test MAE,R² Score
XGBoost,523658.73913132155,1179485.489591715,388053.99209375,874312.5265625,0.9675183750048955
Random Forest,574698.3659831807,1518721.4483913428,427833.94351781247,1142935.14407125,0.9461471371034093
Gradient Boosting,1413458.6456441556,1539685.7312798891,1049292.8513948575,1144596.876407232,0.9446501162189084
Decision Tree,0.0,2438393.2892861194,0.0,1799000.6279375,0.8611774389772031
Linear Regression,4085479.0628428757,4084655.4804025237,3301306.7158018686,3301910.8931548367,0.6104498220824204
Lasso Regression,4085479.0628428757,4084655.4805249907,3301306.7157797213,3301910.8931770385,0.6104498220590611
Ridge Regression,4085479.272242012,4084691.955203892,3301303.8822566667,3301920.211945865,0.610442864908739
